fecha_recepcion,fecha_envio,producto,subproducto,asunto,subasunto,descripcion_queja,descripcion_solucion,compania,estado_abbr,estado,codigo_postal,etiquetas,consentimiento_cliente,medio_comunicacion,estatus_queja,respuesta_a_tiempo,se_abre_disputa
29/07/2013,02/08/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,"SunTrust Banks, Inc.",FL,Florida,32505,,N/A,Referral,Closed,Yes,No
29/07/2013,05/08/2013,Consumer Loan,Vehicle loan,Managing the loan or lease,,,,Santander Consumer USA Holdings Inc,CA,California,92677,,N/A,Referral,Closed,Yes,Yes
29/07/2013,06/08/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Land/Home Financial Services,MI,Michigan,48382,,N/A,Fax,Closed with explanation,No,
29/07/2013,30/07/2013,Bank account or service,Checking account,Deposits and withdrawals,,,,JPMorgan Chase & Co.,NJ,New Jersey,8530,,N/A,Postal mail,Closed with monetary relief,Yes,No
29/07/2013,29/07/2013,Credit card,,Delinquent account,,,,Amex,TX,Texas,78232,,N/A,Web,Closed with monetary relief,Yes,No
29/07/2013,30/07/2013,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,Nationstar Mortgage,GA,Georgia,30041,,N/A,Web,Closed with explanation,Yes,No
29/07/2013,30/07/2013,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",,,,Wells Fargo & Company,TX,Texas,77381,,N/A,Postal mail,Closed with explanation,Yes,No
29/07/2013,30/07/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,Ocwen,MA,Massachusetts,2368,,N/A,Web,Closed with explanation,Yes,No
29/07/2013,30/07/2013,Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,,,"Navient Solutions, Inc.",FL,Florida,33133,,N/A,Web,Closed with explanation,Yes,No
29/07/2013,31/07/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,CIT Bank National Association,NY,New York,11101,,N/A,Web,Closed with explanation,Yes,No
29/07/2013,01/08/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Bank of America,CA,California,91701,,N/A,Web,Closed with explanation,Yes,No
29/07/2013,04/12/2013,Debt collection,I do not know,Communication tactics,Frequent or repeated calls,,,"Alpine Financial Solutions, Inc.",KY,Kentucky,42303,Older American,N/A,Postal mail,Closed with explanation,Yes,No
29/07/2013,30/07/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Ditech Financial LLC,TN,Tennessee,37218,,N/A,Web,Closed with explanation,Yes,No
29/07/2013,30/07/2013,Bank account or service,Checking account,Problems caused by my funds being low,,,,Wells Fargo & Company,NJ,New Jersey,8618,Older American,N/A,Phone,Closed with explanation,Yes,No
29/07/2013,30/07/2013,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,Citibank,GA,Georgia,30135,,N/A,Web,Closed with explanation,Yes,No
29/07/2013,29/07/2013,Credit reporting,,Improper use of my credit report,Report improperly shared by CRC,,,Equifax,MO,Missouri,64725,,N/A,Fax,Closed with explanation,Yes,No
